ID,UserID,Department,UserRole,Connection,Timestamp,AccessLevel,AccessDuration,DeviceID,PatientID,IsAccessFail,IsSensitive,VisitDepartment
9982,USR_179,DPT_003,Researcher,OnSite,2024-01-01 02:54:34,read,58,DVC_005,PTN_15436,0,0,DPT_003
35427,USR_179,DPT_009,Researcher,OnSite,2024-01-02 02:05:35,read,75,DVC_135,PTN_10369,0,1,DPT_009
48012,USR_179,DPT_002,Researcher,OnSite,2024-01-02 20:27:10,read,69,DVC_171,PTN_08192,0,0,DPT_002
76662,USR_179,DPT_004,Researcher,OnSite,2024-01-03 22:49:05,write,51,DVC_188,PTN_10132,0,0,DPT_004
44329,USR_179,DPT_005,Researcher,OnSite,2024-01-02 00:27:33,modify,43,DVC_038,PTN_08395,0,0,DPT_005
4683,USR_179,DPT_002,Researcher,OnSite,2024-01-02 01:01:15,read,47,DVC_023,PTN_16619,0,0,DPT_002
40544,USR_179,DPT_8,Researcher,OnSite,2024-01-02 02:36:19,write,86,DVC_075,PTN_13994,0,0,DPT_009
58243,USR_009,DPT_008,Doctor,OnSite,2024-01-03 03:14:34,read,72,DVC_043,PTN_14474,0,0,DPT_008
35516,USR_009,DPT_007,Doctor,OnSite,2024-01-03 22:18:09,read,78,DVC_005,PTN_08710,0,0,DPT_007
96818,USR_009,DPT_005,Doctor,OnSite,2024-01-02 23:26:34,delete,56,DVC_196,PTN_00676,0,0,DPT_005
60263,USR_009,DPT_002,Doctor,OnSite,2024-01-02 01:52:54,read,49,DVC_138,PTN_03405,0,0,DPT_002
82519,USR_009,DPT_004,Doctor,OnSite,2024-01-03 02:31:38,read,81,DVC_061,PTN_10196,0,0,DPT_004
30800,USR_009,DPT_5,Doctor,OnSite,2024-01-02 21:09:50,read,72,DVC_177,PTN_08003,0,1,DPT_003
50962,USR_009,DPT_007,Doctor,OnSite,2024-01-01 01:07:07,read,51,DVC_169,PTN_18334,0,0,DPT_007
